aX	aY	aZ	gX	gY	gZ	
-0.3914	1.6606	0.9424	35.7666	-6.1035	36.0718
-0.2755	1.3961	0.8619	71.9604	30.7007	50.3540
-0.1865	1.1669	0.7292	95.3369	52.4902	43.8843
-0.0980	1.0167	0.5673	116.2109	66.7725	30.7617
0.0250	0.9207	0.4233	134.1553	75.6836	23.0713
0.1641	0.7351	0.3235	145.3857	76.5991	22.0947
0.2297	0.7283	0.3120	145.2026	77.2705	-17.0288
0.2562	0.7396	0.2568	138.9160	73.6084	-51.0254
0.2404	0.6545	0.2469	128.4790	69.2139	-44.8608
0.2311	0.6597	0.2272	111.2061	65.4907	-70.3735
0.2563	0.6560	0.2631	83.0078	37.9639	-67.5049
0.2534	0.6715	0.2565	67.1997	30.4565	-16.6016
0.1801	0.6855	0.2577	51.8799	28.0762	20.1416
0.0739	0.6492	0.2723	33.6304	17.8833	22.0337
-0.0010	0.6287	0.2928	16.1133	5.6152	13.2446
-0.0269	0.6577	0.3214	2.3193	-1.3428	7.0190
-0.0209	0.7236	0.3535	-6.1646	-0.7935	2.5635
0.0023	0.7878	0.3767	-11.3525	6.5308	-0.9155
0.0280	0.8304	0.4049	-15.1367	18.3105	-3.6621
0.0448	0.8590	0.4393	-18.7378	30.2124	-7.0190
0.0414	0.8873	0.4812	-21.5454	39.7339	-10.3760
0.0344	0.9152	0.5144	-22.8882	47.7295	-12.2070
0.0631	0.9352	0.5393	-22.8882	53.1616	-11.2915
0.1104	0.9601	0.5638	-22.7661	55.9692	-9.1553
0.1547	0.9692	0.5900	-22.4609	56.9458	-7.6904
0.1947	0.9656	0.6122	-21.3013	56.5796	-4.7607
0.2252	0.9534	0.6257	-19.8975	53.3447	-1.2817
0.2518	0.9308	0.6333	-17.5171	46.8750	1.4038
0.2839	0.9136	0.6378	-14.8315	37.4146	3.7231
0.3005	0.9105	0.6382	-11.5967	26.1841	5.0659
0.2937	0.9232	0.6385	-7.3853	14.7095	5.6763
0.2694	0.9291	0.6375	-2.3804	4.3945	5.3711
0.2539	0.9095	0.6283	4.5776	-3.5400	4.5776
0.2413	0.9347	0.6290	10.4980	-10.5591	4.2114
0.2257	0.9564	0.6282	15.5029	-17.0898	3.3569
0.2181	0.9388	0.6106	21.5454	-21.2402	3.4180
0.2004	0.9182	0.6022	26.2451	-24.2920	4.8218
0.1472	0.9224	0.6044	30.2734	-27.1606	7.6904
0.1251	0.9282	0.5887	34.3018	-30.7007	14.7095
0.1429	0.9008	0.5747	37.5977	-35.2173	22.9492
0.1786	0.8884	0.5759	39.1235	-39.3677	27.8931
0.1750	0.9032	0.5973	40.1001	-43.2739	32.5928
0.1299	0.9277	0.6130	42.9688	-45.2271	39.0625
0.1295	0.9015	0.6041	47.9736	-45.8374	46.0815
0.1652	0.8635	0.5907	52.4902	-47.6685	50.2319
0.1859	0.8472	0.5782	55.1147	-51.3916	50.1099
0.1836	0.8363	0.5627	55.9082	-56.7017	46.7529
0.1677	0.8212	0.5498	54.9927	-63.1104	41.7480
0.1412	0.8142	0.5437	52.3071	-69.6411	36.5601
0.0973	0.8101	0.5466	49.2554	-74.9512	30.8838
0.0635	0.8057	0.5632	45.5322	-77.2095	26.3062
0.0660	0.8103	0.5933	41.1377	-76.4160	24.8413
0.0640	0.8281	0.6306	38.6963	-73.7915	24.7192
0.0452	0.8394	0.6517	39.4897	-70.4346	25.6958
0.0513	0.8304	0.6406	42.6025	-67.2607	27.7710
0.0704	0.8115	0.6251	45.6543	-67.5659	29.1748
0.0823	0.7960	0.6141	48.6450	-72.8149	28.8086
0.0944	0.7842	0.6145	51.3306	-80.3223	27.8320
0.1761	0.7648	0.6367	54.6265	-88.1958	26.7334
0.0704	0.7301	0.6359	57.9834	-95.5811	29.0527
0.0952	0.6647	0.5330	67.0776	-86.0596	1.4648
0.1445	0.7373	0.6023	59.5703	-111.9385	-15.3198
0.1462	0.8043	0.5789	64.0869	-99.4873	9.5215
0.0787	0.7676	0.5652	64.0259	-106.0181	21.9116
0.0438	0.6991	0.5537	62.7441	-118.2861	21.9727
0.0387	0.6765	0.5399	61.3403	-130.1880	23.3765
0.0382	0.6885	0.5320	60.1196	-142.9443	27.7100
0.0276	0.6853	0.5094	60.3638	-154.2969	28.9917
0.0096	0.6741	0.4940	60.4858	-164.7339	29.6021
-0.0262	0.6525	0.4847	60.4858	-174.6826	30.0293
-0.0681	0.6353	0.4851	61.8286	-181.6406	28.8696
-0.1176	0.6301	0.4752	64.7583	-186.9507	22.6440
-0.1311	0.6451	0.4532	68.4204	-189.7583	21.7285
-0.1340	0.6543	0.4425	71.5332	-193.4204	26.7944
-0.1678	0.6472	0.4454	75.1343	-198.1812	31.9214
-0.2380	0.6432	0.4423	79.5288	-203.4302	33.6914
-0.2942	0.6277	0.4302	85.3271	-205.8716	34.7290
-0.3115	0.6147	0.4147	92.7124	-205.0781	36.1328
-0.3126	0.6129	0.4045	100.2197	-203.0640	36.3159
-0.3118	0.5975	0.3804	108.0933	-200.4395	35.8276
-0.3096	0.5817	0.3407	113.1592	-198.7915	34.7290
-0.3185	0.5503	0.3147	116.2720	-199.8291	33.8135
-0.3586	0.5352	0.3044	118.1030	-202.3315	32.1045
-0.4146	0.5275	0.2994	120.9106	-205.5054	30.9448
-0.4788	0.5205	0.3149	125.9155	-208.1299	29.2358
-0.5343	0.5122	0.3433	132.8125	-209.1675	27.8320
-0.5570	0.4865	0.3362	141.7847	-206.4209	26.8555
-0.5433	0.4641	0.2913	150.8789	-202.1484	24.2310
-0.4832	0.4349	0.2100	156.4331	-201.2939	21.3013
-0.4369	0.4126	0.1542	156.0669	-208.3130	17.6392
-0.4570	0.4014	0.1470	152.7100	-222.9614	12.4512
-0.5005	0.3929	0.1279	149.9634	-241.3330	5.7983
-0.5272	0.3748	0.0583	148.1323	-259.1553	-0.7324
-0.5565	0.3708	0.0247	144.2871	-276.1230	-7.2632
-0.5931	0.3956	0.0015	140.5029	-293.8843	-13.0615
-0.6617	0.4294	-0.0321	139.5264	-308.1665	-22.1558
-0.7247	0.4429	-0.0797	139.9536	-315.1245	-31.4941
-0.7865	0.4736	-0.1349	142.0288	-314.9414	-38.3911
-0.8621	0.5035	-0.1470	145.3857	-310.8521	-42.9077
-0.9202	0.5159	-0.1582	149.4751	-300.8423	-44.3726
-0.9406	0.5035	-0.1720	153.6255	-283.8135	-43.1519
-0.9485	0.4895	-0.2065	156.2500	-264.1602	-41.5649
-0.9303	0.4973	-0.2532	155.7617	-244.3848	-39.6118
-0.9073	0.5033	-0.2765	154.2969	-227.3560	-37.9639
-0.8892	0.5051	-0.2930	151.6724	-212.0361	-36.7432
-0.8671	0.4985	-0.2927	149.5972	-197.3267	-37.0483
-0.8302	0.4727	-0.3177	146.7896	-187.9883	-36.1938
-0.8077	0.4564	-0.3790	139.7095	-180.1758	-39.2456
-0.7925	0.4617	-0.4038	129.8218	-173.5840	-43.5791
-0.7816	0.4628	-0.3755	121.1548	-171.6309	-46.2036
-0.8009	0.4539	-0.3667	111.9995	-170.7764	-47.2412
-0.8361	0.4672	-0.3986	101.0742	-167.2363	-49.1943
-0.8528	0.5055	-0.3812	94.6045	-161.4990	-49.0723
-0.8270	0.5409	-0.3662	91.7358	-154.4800	-46.2036
-0.7854	0.5604	-0.3918	89.7827	-146.1792	-45.4102
-0.7670	0.5736	-0.4231	87.8906	-139.4043	-43.9453
-0.7637	0.5916	-0.4410	86.5479	-134.0332	-43.3350
-0.8251	0.5768	-0.5049	84.6558	-128.8452	-43.5181
-0.9420	0.5020	-0.4869	79.1016	-121.8872	-45.9595
-0.7407	0.5912	-0.5109	68.6035	-108.3984	-44.8608
-0.7465	0.6290	-0.5277	65.0635	-91.8579	-33.9355
-0.7211	0.6501	-0.5334	60.5469	-73.9136	-25.6348
-0.6714	0.6091	-0.5691	52.7344	-55.4810	-21.4233
-0.6919	0.5533	-0.5813	42.4805	-41.0156	-21.7285
-0.7100	0.5547	-0.5660	31.2500	-35.0952	-21.7896
-0.7318	0.5895	-0.5726	20.4468	-33.8135	-20.5078
-0.7655	0.6276	-0.5634	10.0098	-33.3252	-17.0898
-0.8021	0.6675	-0.5551	-0.1221	-31.3110	-11.4136
-0.8251	0.6948	-0.5405	-6.1646	-24.1699	-5.1270
-0.7900	0.6896	-0.5546	-9.8267	-9.1553	1.7090
-0.7245	0.6829	-0.5724	-14.2212	10.1929	7.6904
-0.6670	0.6766	-0.5807	-18.9819	26.7334	13.1836
-0.6422	0.6652	-0.5767	-26.5503	36.8042	14.9536
-0.6251	0.6680	-0.5555	-35.5835	42.2363	12.5732
-0.5833	0.6638	-0.5316	-43.0298	43.9453	8.9722
-0.5566	0.6586	-0.5194	-49.5605	44.1284	5.1880
-0.5913	0.6337	-0.4906	-55.0537	44.3115	0.3662
-0.6367	0.5726	-0.4564	-59.6313	46.1426	-4.4556
-0.6802	0.5419	-0.4297	-65.0024	49.1943	-9.2773
-0.7251	0.5409	-0.4081	-70.6177	53.8940	-15.9302
-0.7424	0.5284	-0.3940	-75.0732	59.9976	-21.7896
-0.7352	0.5154	-0.4015	-79.9561	67.0166	-26.7944
