aX	aY	aZ	gX	gY	gZ	
-0.9985	-0.8873	-1.3580	-343.8110	49.2554	-23.3765
-0.9130	-0.6245	-1.5406	-463.8062	48.5840	-50.8423
-0.7675	-0.3085	-1.7369	-589.9658	28.5034	-69.3970
-0.5713	0.0973	-1.9960	-711.1816	-4.1504	-91.1255
-0.4275	0.5281	-2.2419	-810.4248	-25.3296	-132.8735
-0.2876	1.0215	-2.2367	-880.8594	-22.8882	-188.5986
-0.1337	1.5122	-1.9968	-913.4521	-10.2539	-238.9526
-0.0928	1.8153	-1.6063	-907.3486	-14.2212	-255.0049
-0.1421	1.7689	-0.9863	-874.6338	-28.1372	-223.9990
-0.9240	1.2666	-0.2643	-838.3179	-36.3159	-178.0396
-1.5876	1.4750	0.9879	-799.7437	-55.3589	-154.1748
-1.6477	2.0621	2.1914	-658.8745	-87.8906	-134.1553
-1.6904	1.9965	2.4479	-448.6694	-142.5171	-83.9844
-2.0231	1.5692	2.1906	-262.8174	-173.8892	-22.5830
-2.0673	1.4541	1.8900	-128.5400	-147.2168	35.6445
-1.6453	1.4896	1.6234	-29.7241	-83.9844	89.5386
-1.2035	1.4012	1.2721	50.4150	-27.3438	128.0518
-0.9329	1.1781	0.8541	112.3047	-2.9297	144.9585
-0.8068	0.8535	0.4956	152.5879	-4.9438	140.3198
-0.8743	0.5070	0.1708	172.7295	-20.7520	117.6758
-1.0321	0.2832	-0.0693	175.5981	-32.5928	88.2568
-1.1599	0.1608	-0.2357	170.0439	-25.9399	60.6689
-1.1704	-0.0099	-0.3397	160.2173	0.5493	39.0015
-1.0927	-0.1672	-0.3743	145.6909	27.4658	26.9165
-1.0199	-0.2285	-0.3578	127.5635	40.9546	25.2686
-0.9692	-0.2540	-0.3273	111.4502	42.8467	28.5645
-0.9098	-0.2802	-0.3016	98.1445	36.7432	37.9639
-0.8756	-0.2894	-0.2844	86.7920	26.0620	49.8657
-0.8778	-0.2633	-0.2604	76.6602	14.4653	58.8989
-0.9012	-0.2251	-0.1960	67.6270	5.2490	63.5986
-0.9438	-0.1986	-0.0945	62.4390	-0.9155	64.5752
-0.9844	-0.1780	-0.0083	62.9272	-5.6763	62.3169
-0.9877	-0.1497	0.0510	67.0166	-5.8594	59.1431
-0.9928	-0.1202	0.0939	73.9746	-1.8921	55.6030
-0.9757	-0.1025	0.1152	83.0078	4.8828	52.5513
-0.9558	-0.0913	0.1160	92.5903	11.9019	49.2554
-0.9905	-0.0848	0.1210	102.9053	17.0898	44.4946
-0.9952	-0.0750	0.1361	113.5864	23.4375	40.5884
-0.9895	-0.0697	0.1460	125.8545	32.8369	38.0859
-0.9843	-0.0820	0.1605	139.4043	41.9312	36.8652
-0.9789	-0.1028	0.1649	153.1982	48.1567	37.0483
-0.9678	-0.1195	0.1545	165.0391	49.4385	38.4521
-0.9525	-0.1283	0.1422	174.4385	49.8047	38.5132
-0.9303	-0.1285	0.1147	182.4951	49.9268	37.1704
-0.9285	-0.1375	0.0875	187.8052	45.8374	35.5835
-0.9341	-0.1587	0.0492	191.5894	38.2080	32.3486
-0.9419	-0.1644	0.0206	192.7490	31.4331	27.9541
-0.9565	-0.1785	0.0077	193.1152	25.2075	24.5972
-0.9761	-0.2007	-0.0084	193.0542	19.9585	22.0337
-0.9916	-0.2187	-0.0153	192.7490	16.9067	20.7520
-0.9878	-0.2372	-0.0369	191.8335	16.1743	20.8130
-0.9537	-0.2631	-0.0852	189.2700	15.8691	21.7285
-0.9370	-0.2842	-0.0964	183.8989	14.7705	22.5830
-0.9561	-0.2841	-0.0951	178.0396	13.3667	23.0713
-0.9852	-0.2795	-0.0989	173.4009	15.5640	23.5596
-0.9965	-0.2872	-0.1052	169.7388	22.2168	23.0713
-0.9723	-0.3031	-0.1167	164.8560	30.7007	21.8506
-0.9517	-0.3160	-0.1436	158.7524	37.8418	19.8975
-0.9469	-0.3271	-0.1653	152.4048	42.5415	18.1885
-0.8683	-0.3414	-0.1619	144.0430	45.2271	17.1509
-0.7749	-0.3562	-0.1578	133.8501	39.9170	17.2119
-0.7727	-0.3679	-0.1484	125.0610	26.3062	15.5640
-0.8044	-0.3666	-0.1466	118.8354	10.6812	12.7563
-0.8154	-0.3485	-0.1615	113.4644	-6.2866	10.5591
-0.8435	-0.3397	-0.1534	110.8398	-23.9868	7.5073
-0.9060	-0.3320	-0.1322	110.7788	-36.8042	3.9062
-0.9590	-0.3160	-0.1393	113.0371	-39.9170	0.4883
-0.9731	-0.2971	-0.1831	116.0889	-34.6069	-1.4648
-0.9669	-0.3037	-0.1973	119.8730	-24.8413	-2.5635
-0.9410	-0.3019	-0.1951	122.9858	-13.6719	-2.1973
-0.9236	-0.2856	-0.2089	127.1362	-1.8921	-1.2207
-0.9016	-0.2771	-0.2397	133.1177	7.4463	0.0610
-0.8901	-0.2716	-0.2911	139.4653	13.1836	1.0376
-0.8918	-0.3090	-0.4358	144.6533	16.9067	-0.4272
-0.8627	-0.5217	-0.8020	135.4980	22.9492	-3.8452
-0.8716	-0.8840	-1.1967	80.9937	37.6587	-8.8501
-0.9713	-1.1604	-1.4393	-31.1279	78.9185	-13.7329
-0.9332	-1.1200	-1.3960	-174.9268	141.5405	-23.9868
-0.8127	-0.8247	-1.4485	-302.1240	186.7065	-36.0718
-0.6553	-0.3901	-1.8627	-421.1426	192.3218	-40.0391
-0.5809	-0.1040	-2.1868	-550.2319	156.2500	-42.6636
-0.4370	0.1703	-2.3317	-677.1851	112.7319	-55.9692
-0.0475	0.4976	-2.4191	-773.5596	73.8525	-78.9795
0.2852	0.6742	-2.2909	-832.7026	9.1553	-110.0464
0.3335	0.7651	-1.9331	-871.7651	-71.4111	-142.0898
-0.0621	1.2542	-1.5398	-885.9863	-136.8408	-162.7808
-0.9827	1.4280	-0.6736	-847.2900	-166.8091	-151.8555
-1.5604	1.5459	0.1860	-799.9878	-196.2280	-162.4756
-1.6345	2.0294	1.1567	-713.6841	-188.6597	-154.9683
-1.7678	2.3004	1.7509	-569.4580	-168.8232	-115.1123
-1.9984	2.3425	2.0730	-414.0015	-159.1187	-70.6177
-2.0364	2.2036	1.9064	-264.2212	-132.5684	-23.6816
-1.7985	1.9984	1.6483	-139.2822	-89.1724	23.0713
-1.5099	1.7583	1.3942	-45.1660	-49.9878	69.0918
-1.2703	1.4935	1.0848	30.0293	-21.0571	103.2104
-1.0415	1.1884	0.7490	89.1113	-7.9346	125.0610
-0.8962	0.8389	0.4381	128.9673	-12.7563	133.9722
-0.9292	0.5795	0.1866	151.5503	-26.2451	129.3945
-1.0693	0.4097	-0.0073	165.1001	-32.8369	118.4082
-1.1870	0.2335	-0.1654	175.6592	-24.1699	104.4312
-1.2097	0.0446	-0.2592	181.6406	-6.4697	87.3413
-1.1545	-0.0715	-0.3051	183.0444	12.8174	69.6411
-1.1038	-0.1290	-0.3314	182.3120	28.5645	55.9692
-1.0712	-0.1718	-0.3333	180.1147	38.9404	49.1333
-1.0841	-0.1820	-0.3064	176.0864	42.7856	47.9126
-1.0967	-0.1896	-0.2976	171.3867	40.2222	50.6592
-1.0530	-0.1849	-0.2909	164.0625	35.8276	55.2979
-1.0066	-0.1664	-0.2620	154.9683	29.1138	58.6548
-1.0021	-0.1500	-0.1699	146.5454	19.8364	60.7300
-1.0358	-0.1165	-0.1005	141.8457	9.7046	61.8896
