aX	aY	aZ	gX	gY	gZ	
2.3022	3.1318	3.9995	-113.8916	40.6494	61.4014
3.7051	0.4160	0.7832	286.4990	-235.6567	10.4980
-3.9995	-3.9995	-0.9960	315.5518	-114.5630	-49.0112
0.5107	-1.0858	0.6329	-5.4932	34.5459	-19.0430
1.2415	0.2992	1.1373	-126.8311	32.0435	-28.8696
-0.3341	-0.5533	0.9991	-99.0601	-62.8662	-14.4653
-1.1046	0.0402	1.3940	-108.2153	-86.1816	-44.9219
-0.7782	0.1230	1.7256	-91.1865	-46.3867	-32.5928
-0.7151	0.0389	1.7714	-64.5142	-11.2915	-1.7700
-0.6699	0.1760	1.7473	-53.1006	-3.0518	7.1411
-0.4769	0.0880	1.6730	-35.7666	3.4180	14.5874
-0.1072	-0.1829	1.5668	-14.7095	8.0566	18.0054
0.0530	-0.4159	1.3766	-0.2441	4.2725	13.4277
0.1232	-0.5626	1.2521	7.2632	0.3052	7.9956
0.1666	-0.5988	1.1715	6.7139	-4.5776	3.2349
0.1467	-0.5825	1.1227	4.5166	-10.1318	1.0376
0.0360	-0.5029	1.0891	-0.9766	-12.5732	-4.5776
-0.0793	-0.4191	1.0552	-4.8218	-9.5215	-6.7749
-0.1957	-0.3086	1.0338	-6.4087	-7.3242	-7.3853
-0.2723	-0.2235	1.0238	-7.0190	-1.1597	-5.9814
-0.2491	-0.1777	1.0161	-5.1880	5.7983	-2.7466
-0.1971	-0.1497	1.0118	-2.5635	10.8643	1.5259
-0.1420	-0.1509	1.0156	-0.6104	14.1602	5.3101
-0.0627	-0.1926	1.0300	0.1831	14.3433	6.6528
0.0054	-0.1372	1.0260	0.3662	8.4229	10.0098
-0.0841	-0.0840	1.1039	-2.1973	-3.2349	9.9487
-0.1982	-0.0947	1.1417	0.7935	-2.9297	7.9346
-0.2136	-0.1288	1.1375	7.6294	10.6812	8.7891
-0.1296	-0.1854	1.1051	13.6719	26.7944	11.9629
-0.0543	-0.1927	1.0962	13.6108	34.3018	14.2212
0.0515	-0.1705	1.1416	10.6812	27.4048	13.9160
0.0244	-0.1771	1.1505	12.1460	13.9771	8.7891
-0.0414	-0.2041	1.1306	14.7705	3.2959	4.9438
-0.0817	-0.2115	1.1184	15.4419	-3.1738	3.0518
-0.1122	-0.2045	1.1066	16.1743	-2.6245	1.8921
-0.1047	-0.2181	1.0883	18.1885	0.7324	1.4038
-0.0767	-0.2479	1.0615	20.9961	3.4180	1.7090
-0.0438	-0.2697	1.0366	22.0337	4.0894	0.4272
-0.0298	-0.2798	1.0082	22.2778	2.8076	-1.0376
-0.0387	-0.2725	0.9989	21.5454	-0.9155	-2.9297
-0.0559	-0.2505	0.9961	22.1558	-5.4932	-3.5400
-0.0764	-0.2534	0.9790	24.7803	-9.8877	-4.0283
-0.0848	-0.2821	0.9509	27.6489	-10.8032	-3.8452
-0.0923	-0.3007	0.9225	28.9917	-9.0942	-3.5400
-0.0742	-0.3164	0.9050	27.6489	-5.0659	-4.6387
-0.0557	-0.3179	0.8989	27.3438	-3.2959	-4.6387
-0.0554	-0.3252	0.8815	26.1230	-1.9531	-6.2866
-0.0771	-0.3201	0.8658	24.2310	-2.4414	-8.4229
-0.1128	-0.3011	0.8652	22.5220	-4.8828	-9.0942
-0.1561	-0.2823	0.8724	20.3247	-4.7607	-9.0942
-0.1819	-0.2717	0.8663	21.3623	-4.8218	-7.8125
-0.1672	-0.2781	0.8575	23.1323	-3.3569	-5.9814
-0.1318	-0.2915	0.8561	22.3999	-0.2441	-5.4932
-0.1080	-0.2888	0.8594	23.2544	-1.0376	-4.0283
-0.1082	-0.2898	0.8560	23.7427	-2.2583	-5.1270
-0.1174	-0.2878	0.8549	24.2310	-3.3569	-6.2866
-0.1290	-0.2815	0.8480	25.6958	-4.2114	-5.9814
-0.1423	-0.2744	0.8333	26.8555	-2.7466	-6.4087
-0.1447	-0.2762	0.8030	29.4800	-2.5024	-6.1035
-0.1426	-0.2947	0.7616	31.1279	-2.9907	-4.3945
-0.1376	-0.3005	0.7220	29.7852	-3.4790	-2.9297
-0.1395	-0.2966	0.6753	26.7334	-5.1880	-2.8687
-0.1194	-0.2979	0.6162	24.7803	-7.0190	-1.7090
-0.0723	-0.3102	0.5402	21.5454	-7.8125	-2.3804
-0.0338	-0.3242	0.4462	21.1792	-12.2681	-1.2207
-0.0278	-0.3386	0.3267	19.4092	-15.4419	-3.2349
-0.0460	-0.3503	0.1970	16.0522	-13.9160	-4.4556
-0.0374	-0.3608	0.0665	12.0850	-12.2070	-5.3101
-0.0425	-0.3712	-0.0553	4.3335	-5.4932	-5.9814
-0.0782	-0.3766	-0.1685	-5.3711	-0.4883	-6.8970
-0.0865	-0.3298	-0.2864	-25.3296	10.8643	-11.3525
-0.0693	-0.2334	-0.4261	-44.2505	19.5313	-11.8408
-0.0475	-0.2028	-0.6163	-59.1431	25.5737	-12.0239
0.0239	-0.1852	-0.8486	-72.5708	26.7944	-8.4229
0.0458	-0.0929	-1.1000	-90.3931	23.6816	-8.3618
-0.0199	-0.0503	-1.3730	-108.9478	23.1934	-8.0566
-0.1227	0.0277	-1.5741	-136.0474	35.8276	-8.1787
-0.1576	0.1642	-1.6520	-173.3398	63.7207	-4.4556
1.6426	3.9983	3.9995	-109.8633	82.3364	8.2397
3.5825	-1.9502	0.7765	265.9302	-174.3774	-43.8843
-3.9995	-3.9983	-0.7205	215.4541	-112.1216	-60.6689
0.2069	-1.3574	0.6320	-33.7524	85.9985	-41.9922
1.5168	1.2194	1.2130	-134.3384	46.5698	-30.5176
-0.2163	-0.3430	1.1367	-84.4727	-63.5376	-25.6958
-1.1545	-0.4070	1.5269	-75.5615	-68.1152	-40.2222
-0.4921	0.2186	1.9530	-85.3882	-63.5986	-30.2734
-0.8618	0.1223	2.0200	-67.5049	-34.9121	2.0142
-0.8317	0.3174	1.9608	-52.0020	-18.4326	15.2588
-0.6230	0.2848	1.8799	-31.6162	-10.1318	22.1558
-0.4065	-0.0004	1.7930	-5.2490	-7.2021	27.1606
-0.2784	-0.2277	1.6362	12.0850	-3.0518	20.7520
-0.2115	-0.3524	1.4679	22.2168	5.1880	16.4185
-0.0774	-0.4045	1.3403	27.9541	11.9629	15.6860
0.0182	-0.4399	1.2404	29.8462	14.7095	12.2681
0.0092	-0.4637	1.1472	28.8696	15.3809	8.6060
-0.0381	-0.4409	1.0569	27.2827	15.6860	7.6904
-0.0686	-0.3890	0.9767	23.1934	17.4561	6.1646
-0.0714	-0.3597	0.9482	17.5171	19.8975	6.6528
-0.0476	-0.3041	0.9734	10.1318	21.9116	7.0190
-0.0231	-0.2615	0.9998	4.2114	21.7896	7.2632
-0.0072	-0.2384	1.0089	1.2817	20.6299	9.0942
0.0365	-0.2340	1.0200	0.4883	14.2212	11.6577
0.0668	-0.2356	1.0389	-2.5635	8.1787	12.7563
0.0719	-0.2462	1.0498	-5.5542	-0.6104	13.1226
0.0149	-0.2401	1.0500	-9.2163	-7.3242	12.2681
-0.0475	-0.2106	1.0626	-14.3433	-8.4229	9.1553
-0.0989	-0.1588	1.0737	-15.9912	-9.6436	7.6904
-0.1589	-0.0718	1.0940	-15.5640	-7.3853	6.1035
-0.2439	-0.0123	1.1409	-9.6436	-4.5166	5.1880
-0.2451	-0.0433	1.2087	0.9766	5.9814	7.8125
-0.1295	-0.0891	1.1909	12.5732	13.0005	10.9863
-0.0719	-0.1869	1.1566	21.1792	11.1084	15.1978
-0.0518	-0.2474	1.1212	23.0103	3.6621	12.8174
-0.0553	-0.2657	1.1006	20.6909	-4.3945	10.4370
-0.0818	-0.2754	1.0869	17.3950	-9.3384	7.5684
-0.1079	-0.2758	1.0809	16.1133	-12.6343	5.8594
-0.1273	-0.2583	1.0839	13.9160	-9.6436	2.5024
-0.1217	-0.2604	1.0792	14.8315	-3.4180	2.3193
-0.1035	-0.2585	1.0580	19.5923	-0.9155	2.8076
-0.0759	-0.2799	1.0267	22.7051	0.7324	2.1973
-0.0671	-0.2991	0.9908	25.7568	-1.4648	1.6479
-0.0831	-0.3007	0.9541	26.8555	-5.1880	0.1221
-0.1049	-0.2874	0.9185	26.6113	-6.7749	-1.0986
-0.1060	-0.2780	0.8864	26.7334	-6.8359	-1.5869
-0.1278	-0.2692	0.8527	26.9165	-4.3945	-1.6479
-0.1255	-0.2753	0.8203	27.2217	0.8545	-1.3428
-0.0854	-0.2793	0.7935	26.0620	5.3711	-2.2583
-0.0507	-0.2936	0.7839	23.3154	7.9346	-2.6855
-0.0300	-0.2938	0.7902	18.6768	8.7280	-3.4790
-0.0284	-0.2972	0.7979	16.6626	4.7607	-3.4180
-0.0336	-0.3002	0.8171	17.5171	-2.6855	-3.1738
-0.0542	-0.2739	0.8472	15.8081	-5.6763	-5.1270
-0.0721	-0.2534	0.8630	18.4937	-6.4697	-4.5776
-0.0925	-0.2601	0.8511	22.7661	-6.1035	-6.4087
-0.1198	-0.2823	0.8273	24.2920	-1.9531	-7.4463
-0.1401	-0.2766	0.7979	22.8882	0.1831	-9.1553
-0.1564	-0.2699	0.7733	19.6533	1.8311	-8.9111
-0.1632	-0.2708	0.7545	14.8315	2.5635	-8.7280
-0.1426	-0.2552	0.7424	11.3525	0.0610	-7.8735
-0.1260	-0.2344	0.7355	9.3994	-2.9297	-7.0190
-0.1086	-0.2247	0.7129	9.9487	-7.3242	-6.8359
-0.0859	-0.2340	0.6647	13.6108	-13.6719	-4.7607
-0.0737	-0.2302	0.5848	16.0522	-17.0898	-4.8218
-0.0928	-0.2427	0.4595	19.9585	-19.7754	-4.7607
-0.1124	-0.2930	0.2972	20.8740	-15.5640	-5.5542
-0.1133	-0.3333	0.1233	17.8833	-11.3525	-5.7373
-0.0724	-0.3696	-0.0485	7.2632	-3.2349	-5.9814
0.0084	-0.3500	-0.2144	-4.6387	-1.7090	-4.6997
0.0208	-0.3057	-0.3868	-20.6299	-2.0142	-7.2021
-0.0354	-0.2491	-0.5659	-39.0625	1.4648	-9.9487
-0.1387	-0.1202	-0.7432	-60.4248	11.4136	-15.2588
-0.2373	0.0258	-0.8940	-79.2847	27.4048	-15.9302
-0.3008	0.1798	-0.9896	-97.8394	47.6074	-10.0708
-0.2861	0.2585	-1.0278	-114.4409	62.3169	4.3945
-0.1906	0.2642	-0.9930	-137.5732	75.8667	21.5454
-0.5911	2.0648	3.9995	-153.1982	83.6792	38.0859
3.0272	2.1669	3.9995	169.6167	67.8711	51.1475
-1.4198	-3.9995	0.9235	312.6831	-212.8296	-23.8647
-1.8018	-2.6942	-0.3705	124.6948	66.9556	-13.0615
1.2603	-0.0609	0.9135	-82.7637	43.6401	-34.9731
0.3263	-0.3837	0.9922	-90.2710	-12.3291	-17.8833
-0.8448	-0.2488	0.8918	-89.7217	-52.0020	-33.3252
-0.5096	0.2173	1.4401	-91.8579	-30.4565	-40.5884
-0.4841	0.1799	1.6249	-64.7583	-11.5356	-8.0566
-0.5089	0.0100	1.5870	-39.1846	0.1221	13.3667
