aX	aY	aZ	gX	gY	gZ	
-1.6669	0.4581	-1.1256	-84.1064	-116.2109	-187.1338
-1.7151	0.4569	-1.1121	-86.5479	-72.6929	-146.5454
-1.6567	0.3105	-1.0660	-89.7827	-35.2783	-94.3604
-1.4778	0.1085	-0.8773	-95.5811	0.7935	-48.8281
-1.2568	-0.0455	-0.6962	-104.5532	26.3062	-14.3433
-1.0520	-0.1787	-0.5594	-118.8354	38.0859	7.6294
-0.9358	-0.2888	-0.4650	-140.5029	36.4990	20.7520
-0.8932	-0.3531	-0.3911	-169.1284	25.1465	25.5737
-0.8593	-0.3588	-0.3517	-203.0029	8.4229	23.5596
-0.8214	-0.2932	-0.3300	-239.1357	-9.8267	16.3574
-0.8324	-0.2023	-0.3427	-273.2544	-27.5879	5.1880
-0.8757	-0.1232	-0.3491	-302.4902	-45.5933	-4.0283
-0.9302	-0.0383	-0.3596	-325.9277	-62.8052	-10.0708
-1.0417	0.0231	-0.3571	-341.3696	-72.5708	-13.7939
-1.1405	0.0669	-0.3331	-351.6235	-73.1812	-12.5732
-1.1953	0.1527	-0.3422	-356.6284	-61.7676	-6.8359
-1.2408	0.1571	-0.2836	-355.9570	-35.3394	2.3193
-1.1996	0.1113	-0.1677	-351.8677	-11.3525	5.9814
-1.0735	0.0948	-0.0437	-342.8345	5.0659	8.1177
-0.9860	0.1017	0.0350	-328.7964	16.1133	4.2725
-0.9022	0.0795	0.0699	-313.3545	18.3105	-3.2349
-0.7848	0.0707	0.0841	-300.5981	11.9629	-11.5967
-0.7445	0.0796	0.1147	-291.0156	-0.7324	-22.0947
-0.8684	0.0979	0.1630	-280.2734	-18.8599	-31.1890
-1.0009	0.1138	0.2106	-265.7471	-33.9966	-35.3394
-1.0587	0.1438	0.2494	-247.4365	-38.5132	-34.6680
-1.0826	0.1550	0.2759	-226.5015	-35.2783	-29.7852
-1.0808	0.1470	0.2930	-204.1626	-30.8228	-21.4844
-1.0734	0.1462	0.3086	-181.1523	-28.2593	-11.9629
-1.0624	0.1232	0.3201	-157.2266	-28.7476	-3.6011
-1.0477	0.1133	0.3413	-134.0942	-29.2358	4.0894
-1.0580	0.1071	0.3373	-110.7178	-28.2593	12.7563
-1.0564	0.1013	0.3142	-87.7686	-27.0386	21.3013
-1.0413	0.0929	0.2786	-66.8945	-24.5972	27.9541
-1.0181	0.0774	0.2360	-48.8281	-20.2026	32.4707
-0.9930	0.0565	0.1964	-34.1187	-16.0522	34.8511
-0.9647	0.0320	0.1571	-22.3999	-13.5498	35.5835
-0.9438	0.0105	0.1149	-13.5498	-13.1836	34.7900
-0.9359	-0.0126	0.0748	-8.1177	-13.8550	33.0811
-0.9264	-0.0385	0.0377	-6.2866	-15.3198	31.4941
-0.9310	-0.0637	0.0028	-6.3477	-17.0288	30.0903
-0.9299	-0.0835	-0.0247	-8.5449	-18.1885	29.0527
-0.9258	-0.1028	-0.0504	-13.0615	-19.4702	28.0762
-0.9271	-0.1134	-0.0634	-19.8364	-20.6299	28.0151
-0.9363	-0.1161	-0.0703	-27.5269	-20.5688	28.2593
-0.9312	-0.1174	-0.0732	-35.2783	-19.1650	27.7100
-0.9016	-0.1219	-0.0725	-43.1519	-17.9443	26.7944
-0.8680	-0.1261	-0.0753	-51.6357	-17.6392	25.8179
-0.8538	-0.1149	-0.0833	-60.1807	-18.3716	24.7192
-0.8585	-0.0975	-0.0734	-69.5190	-19.1650	23.6816
-0.8383	-0.0802	-0.0537	-79.9561	-21.0571	22.8882
-0.7997	-0.0415	-0.0093	-90.9424	-22.3999	20.0195
-0.8015	0.0104	0.0441	-99.3652	-21.7896	14.8926
-0.9086	0.0925	0.1355	-102.4780	-20.8130	10.1318
-1.0831	0.1222	0.2582	-96.7407	-21.6064	12.5122
-1.1259	0.1716	0.4630	-81.7261	-25.9399	23.8037
-0.9861	0.2498	0.7576	-51.2085	-42.9688	44.3115
-1.0892	0.3329	1.0793	9.5215	-62.0117	70.4346
-1.6042	0.3971	1.2572	111.9385	-54.7485	95.7642
-1.8132	0.5375	1.2767	243.4082	8.8501	123.1689
-1.5608	0.9165	1.2878	386.1694	110.7788	150.0244
-1.2114	1.3256	1.0208	543.5181	216.5527	147.6440
-1.0118	1.2676	0.3682	704.7119	300.4150	99.0601
-1.0748	1.1046	-0.2806	833.7402	368.8965	16.7236
-1.3970	1.2792	-0.7972	920.7153	429.3823	-62.5610
-1.6129	1.1747	-1.6949	968.3228	480.1636	-104.6753
-0.7454	0.6366	-1.9542	919.0674	506.0425	-82.9468
0.6582	-0.3011	-1.6260	770.6299	433.9600	-9.5215
0.5548	-0.9084	-1.0475	566.1011	261.0474	27.7710
-0.4080	-1.0925	-0.7532	353.4546	48.1567	30.5786
-1.1716	-0.9836	-0.8903	174.1333	-144.7144	10.3149
-1.5728	-0.7169	-1.2723	41.0156	-260.9863	-48.4619
-1.8831	-0.2797	-1.2764	-57.6172	-304.9927	-117.7979
-1.9359	-0.0448	-1.2061	-113.2813	-278.3203	-157.5317
-1.8146	0.1090	-1.0187	-129.2725	-190.8569	-158.0811
-1.5256	0.1646	-0.8397	-121.7651	-105.1025	-127.3804
-1.3280	0.0081	-0.7596	-105.7739	-40.3442	-87.1582
-1.2458	-0.2158	-0.6810	-98.5107	1.9531	-53.2227
-1.1927	-0.2791	-0.5792	-108.0322	26.1841	-32.1045
-1.0571	-0.3057	-0.5066	-128.3569	34.6680	-18.6157
-0.9517	-0.3334	-0.4640	-156.9214	30.8838	-9.7656
-0.9845	-0.3353	-0.4390	-190.5518	20.2637	-3.3569
-1.0151	-0.3088	-0.4258	-225.9521	10.4370	1.7090
-0.9962	-0.2534	-0.4095	-260.5591	5.9814	6.2256
-0.9447	-0.1631	-0.3693	-290.7104	6.5918	6.8970
-0.8920	-0.0851	-0.3060	-312.8662	4.6997	2.1362
-0.8680	-0.0317	-0.3192	-325.1343	-1.5869	-7.3242
-0.9331	-0.0420	-0.3231	-331.6650	-7.7515	-12.7563
-1.0297	-0.0334	-0.2069	-333.0688	-21.6064	-16.2354
-1.0830	0.0172	-0.0408	-325.9277	-33.8745	-17.0898
-1.1184	0.0160	0.1051	-309.1431	-29.9072	-14.5874
-1.1058	-0.0015	0.1947	-286.9873	-18.8599	-11.9019
-1.0505	-0.0056	0.2180	-265.1367	-8.3008	-9.8877
-0.9655	-0.0066	0.1973	-247.5586	-3.9673	-7.5684
-0.9052	-0.0056	0.1797	-235.9619	-6.3477	-7.8735
-0.8823	0.0062	0.1741	-227.8442	-11.5967	-11.8408
-0.8751	0.0175	0.1680	-220.7642	-18.0664	-18.1885
-0.8979	0.0225	0.1655	-213.5010	-23.6206	-24.1699
-0.9479	0.0258	0.1776	-204.4067	-26.1841	-30.0293
-0.9858	0.0249	0.2046	-192.5049	-25.6958	-34.6680
-1.0050	0.0238	0.2397	-176.6968	-22.4609	-36.4380
-1.0176	0.0242	0.2646	-157.8369	-18.7378	-35.3394
-1.0270	0.0226	0.2689	-137.8174	-14.8315	-32.4097
-1.0385	0.0269	0.2592	-118.5303	-11.3525	-27.2827
-1.0298	0.0278	0.2501	-100.8911	-7.5684	-21.2402
-1.0043	0.0256	0.2274	-85.6323	-4.7607	-14.8926
-0.9901	0.0283	0.2100	-73.0591	-4.1504	-8.3618
-0.9823	0.0273	0.1873	-62.3169	-4.5776	-3.1128
-0.9788	0.0254	0.1678	-54.0771	-6.1035	0.6104
-0.9688	0.0117	0.1453	-47.3633	-7.5684	3.1128
-0.9767	0.0033	0.1315	-42.4194	-9.2773	5.0049
-0.9923	-0.0094	0.1241	-38.6963	-10.3149	6.4087
-0.9955	-0.0286	0.1050	-35.2173	-10.5591	8.1787
-0.9928	-0.0414	0.0802	-33.1421	-10.5591	10.9863
-1.0045	-0.0472	0.0692	-32.2876	-10.2539	13.9160
-1.0052	-0.0472	0.0645	-31.6772	-9.8877	16.1133
-0.9915	-0.0513	0.0581	-31.3110	-10.4370	17.3950
-0.9637	-0.0498	0.0598	-32.1045	-11.4136	18.8599
-0.9520	-0.0409	0.0649	-34.1797	-12.2681	20.2026
-0.9556	-0.0360	0.0731	-36.4380	-13.4277	20.8130
-0.9441	-0.0355	0.0715	-38.6353	-15.0146	21.0571
-0.9219	-0.0306	0.0758	-41.1987	-16.8457	21.9116
-0.9077	-0.0269	0.0879	-43.8843	-18.5547	22.5830
-0.8884	-0.0240	0.1030	-46.1426	-20.4468	22.7661
-0.8652	-0.0137	0.1144	-48.1567	-23.4375	22.5830
-0.8522	-0.0024	0.1222	-49.1943	-26.4282	22.3999
-0.8414	0.0203	0.1320	-50.2930	-29.7852	21.9116
-0.8447	0.0437	0.1456	-50.6592	-32.5928	20.7520
-0.8451	0.0651	0.1547	-49.9878	-34.3018	18.6768
-0.8135	0.0966	0.1674	-48.5840	-36.3159	16.7847
-0.8309	0.1510	0.2070	-46.5698	-39.6118	14.8926
-0.9054	0.2264	0.3014	-42.2974	-45.1050	16.1743
-1.0088	0.2832	0.4072	-31.6772	-48.8281	23.3765
-1.0891	0.3086	0.6000	-11.7798	-50.1709	37.3535
-1.1600	0.4049	0.8889	22.0337	-53.2227	57.1899
-1.1786	0.5063	1.0718	83.1909	-54.9316	81.2378
-1.3253	0.5709	1.0288	173.2178	-35.5835	100.8911
-1.4513	0.5537	0.9137	279.2969	14.3433	115.5396
-1.3282	0.6667	0.9287	392.8833	85.5713	128.3569
-1.1401	0.9365	0.7319	515.6860	166.3818	127.1973
-0.9591	1.0955	0.3088	643.0054	241.8213	101.3794
-0.9408	1.0038	-0.2240	758.5449	290.7104	48.3398
-1.1010	0.8994	-0.6427	842.9565	328.6133	-21.6675
-1.2775	1.1803	-0.8259	895.2637	364.9292	-80.5664
-1.1145	1.0223	-1.3569	915.7104	369.9951	-94.7876
-0.4232	0.5771	-1.5326	856.5674	328.4912	-66.2842
0.0006	-0.2616	-1.4780	721.6797	224.4263	-12.0850
-0.2920	-0.9619	-1.1775	527.5879	100.7080	31.9214
-1.1299	-1.0160	-1.1211	320.4956	-15.6860	50.2930
-1.8361	-0.7383	-0.9813	148.5596	-89.4775	17.7612
-2.0326	-0.3611	-1.0984	38.9404	-127.9297	-37.6587
-1.8265	-0.1565	-1.1086	-22.4609	-145.8130	-83.2520
-1.5243	-0.1976	-1.1464	-62.6831	-125.1831	-112.7319
-1.3899	-0.1831	-1.0151	-91.4307	-74.2188	-120.0562
-1.3008	-0.0741	-0.8373	-109.2529	-32.9590	-104.8584
-1.2360	-0.0549	-0.7610	-118.0420	-9.0942	-77.8198
-1.2361	-0.1692	-0.6969	-126.9531	3.4790	-50.2930
-1.2141	-0.2190	-0.5518	-142.4561	11.9019	-31.4941
-1.1187	-0.2152	-0.4689	-160.7056	13.6108	-17.3950
-1.0153	-0.2216	-0.3905	-179.9316	10.6201	-4.3335
-0.9884	-0.2334	-0.3284	-199.2187	2.6245	7.0801
-1.0105	-0.2380	-0.2706	-217.7734	-6.1035	17.5171
-1.0126	-0.2238	-0.2041	-234.5581	-11.4746	26.1230
-0.9539	-0.1976	-0.1537	-247.8638	-11.9019	31.1279
-0.8573	-0.1930	-0.1185	-257.0801	-9.9487	30.8228
-0.7532	-0.1917	-0.1002	-264.0991	-11.2915	27.0996
-0.7172	-0.1803	-0.1063	-269.4092	-19.5313	20.7520
-0.7635	-0.1534	-0.1084	-273.6206	-32.9590	10.3760
-0.8635	-0.1245	-0.0867	-276.1841	-43.3960	-2.0752
-0.9366	-0.0863	-0.0441	-275.3296	-46.6919	-15.4419
-1.0098	-0.0428	0.0093	-270.6299	-41.5039	-25.5737
-1.0951	-0.0339	0.0623	-260.1318	-28.9917	-30.3955
-1.0919	-0.0428	0.1182	-246.3379	-14.5264	-29.4800
-1.0388	-0.0552	0.1455	-231.8726	-4.2114	-23.7427
-1.0073	-0.0540	0.1694	-218.3838	1.7090	-15.4419
-0.9779	-0.0553	0.1741	-205.8716	2.8687	-7.6904
-0.9520	-0.0646	0.1602	-195.4956	-2.5635	-0.7935
-0.9318	-0.0625	0.1537	-188.3545	-11.2915	4.6997
-0.9269	-0.0587	0.1580	-183.5937	-20.9961	7.5684
-0.9138	-0.0571	0.1578	-179.0161	-31.0669	8.5449
-0.9106	-0.0537	0.1482	-174.1943	-40.8325	7.6294
-0.9473	-0.0417	0.1418	-168.9453	-47.9126	5.0049
-1.0007	-0.0426	0.1364	-161.8042	-51.1475	1.4648
-1.0553	-0.0437	0.1324	-152.9541	-49.8657	-1.6479
-1.0942	-0.0421	0.1403	-143.0664	-44.0063	-2.4414
-1.0786	-0.0452	0.1494	-132.1411	-34.3018	-1.1597
-1.0470	-0.0531	0.1530	-120.9717	-25.0244	1.2207
-1.0170	-0.0613	0.1514	-109.4360	-19.2261	3.8452
-0.9792	-0.0658	0.1519	-98.7549	-15.8081	6.5918
-0.9457	-0.0643	0.1458	-89.7827	-14.8926	8.6060
-0.9430	-0.0570	0.1420	-82.0923	-16.3574	9.8267
-0.9539	-0.0447	0.1499	-75.3784	-17.8223	9.8877
-0.9576	-0.0360	0.1547	-69.5190	-18.7378	8.4229
-0.9594	-0.0345	0.1455	-63.5376	-18.6768	6.8359
-0.9620	-0.0391	0.1317	-58.2275	-17.4561	4.6387
-0.9465	-0.0375	0.1156	-54.6265	-16.5405	2.9297
-0.9380	-0.0430	0.1030	-52.5513	-16.1133	1.8921
-0.9403	-0.0444	0.0995	-51.6357	-16.1133	1.0986
-0.9442	-0.0474	0.0945	-50.9644	-16.6626	0.7935
-0.9291	-0.0411	0.0925	-51.2695	-17.4561	1.8311
-0.9185	-0.0189	0.1017	-52.2461	-19.0430	3.6011
-0.9174	0.0045	0.1193	-53.5278	-20.6909	4.6997
-0.9019	0.0358	0.1373	-54.4434	-22.0947	5.5542
-0.8834	0.0770	0.1587	-54.8706	-24.3530	5.7983
-0.8805	0.1396	0.1989	-55.2368	-26.7944	5.3711
-0.8834	0.2305	0.2477	-55.0537	-28.7476	5.3711
-0.9297	0.2953	0.3018	-51.3306	-31.9214	7.0190
-1.0112	0.3551	0.4042	-42.0532	-38.5132	11.4746
-1.1165	0.3774	0.5894	-22.8271	-44.0063	19.7144
-1.2018	0.4089	0.9036	14.5874	-38.0249	34.4849
-1.3175	0.4559	1.0348	83.6182	-24.3530	52.0020
-1.4969	0.4492	1.0538	182.3730	4.8828	68.9697
-1.5857	0.5393	1.1975	300.7202	51.8188	88.0127
-1.3842	0.9254	1.2318	437.0117	121.3989	101.9287
-1.0842	1.2393	0.8372	590.8203	209.1064	86.9751
-0.8744	1.1644	0.2952	733.3374	275.3906	36.4380
-0.8854	1.1440	-0.1505	839.9048	313.3545	-36.4380
-1.0355	1.2804	-0.6620	910.4004	338.1348	-100.8911
-1.1559	1.0913	-1.1400	926.8799	349.9146	-131.1035
-0.8000	0.6976	-1.2577	878.8452	351.3184	-114.5630
-0.2816	0.0953	-1.1300	770.5078	306.5796	-53.1616
-0.2479	-0.3511	-0.7205	620.0562	217.2241	2.3804
-0.4684	-0.4070	-0.4594	479.8584	102.7222	29.6631
-0.5867	-0.5271	-0.6785	365.6006	-23.0713	19.8364
-0.9579	-0.7595	-0.9263	254.8828	-127.5635	-19.3481
-1.5121	-0.7079	-1.1088	142.2119	-186.3403	-70.6177
-1.7385	-0.2629	-1.0640	45.8984	-197.9980	-110.5347
-1.6891	0.0222	-0.9979	-13.3667	-170.4102	-125.4883
-1.5605	0.0994	-0.9685	-41.3208	-117.7368	-121.3989
-1.4575	0.0797	-0.8997	-59.3872	-73.1812	-100.8911
-1.3820	-0.0223	-0.8168	-76.4160	-46.1426	-71.9604
-1.2874	-0.1666	-0.7622	-96.4355	-27.9541	-45.6543
-1.1350	-0.2786	-0.6985	-122.9858	-14.4653	-25.2686
-0.9747	-0.3427	-0.6317	-155.8838	-11.2915	-9.5215
-0.9126	-0.3335	-0.5569	-192.9321	-17.7612	-1.9531
-0.8828	-0.3062	-0.5178	-227.7832	-30.2124	-0.1221
-0.8661	-0.2786	-0.5118	-259.5215	-43.5181	-0.8545
-0.9137	-0.2166	-0.4938	-286.9263	-56.2134	-2.1973
-0.9756	-0.1290	-0.4984	-307.0068	-63.7817	-4.6387
-1.0065	-0.0684	-0.5007	-321.0449	-59.6924	-9.0942
-1.0150	-0.0150	-0.4199	-330.2002	-49.1943	-11.1694
-0.9988	0.0189	-0.3136	-331.5430	-38.8184	-8.3008
-0.9923	0.0011	-0.2159	-325.8057	-33.4473	-4.1504
-1.0265	-0.0411	-0.1656	-316.5894	-33.6914	-3.2349
-1.0828	-0.0588	-0.1332	-309.4482	-31.7383	-2.6245
-1.1270	-0.0648	-0.1338	-304.5654	-26.0620	-5.4321
-1.0854	-0.0205	-0.1075	-303.4058	-18.7378	-10.0708
-1.0507	0.0463	-0.0304	-302.0630	-9.4604	-11.7798
