aX	aY	aZ	gX	gY	gZ	
-0.1637	0.9725	0.5972	-304.3213	-11.5356	-61.5845
-0.1708	0.9874	0.5934	-280.4565	-31.2500	-57.7393
-0.1522	0.9705	0.5909	-257.0190	-49.5605	-51.7578
-0.1581	0.9688	0.5448	-232.9712	-65.9790	-45.7153
-0.1886	0.9749	0.4652	-211.2427	-78.7354	-38.6353
-0.2184	0.9949	0.4272	-194.4580	-84.4116	-31.1890
-0.2466	1.0071	0.3472	-179.9316	-82.9468	-22.1558
-0.2826	1.0118	0.2592	-168.1519	-74.8291	-12.7563
-0.3068	1.0153	0.2449	-159.6069	-61.8286	-2.7466
-0.3071	1.0225	0.2739	-149.5972	-44.8608	5.7983
-0.2721	1.0225	0.3245	-136.5967	-27.6489	11.3525
-0.2252	1.0275	0.3619	-121.9482	-14.6484	14.1602
-0.2023	1.0424	0.3696	-106.0791	-5.1880	16.5405
-0.1719	1.0314	0.3529	-89.9048	1.4038	18.7988
-0.1411	1.0100	0.3318	-76.4160	4.8218	20.0195
-0.1116	0.9948	0.2988	-66.0400	4.2114	19.4702
-0.0945	0.9788	0.2517	-58.2886	1.7700	19.0430
-0.0844	0.9646	0.2195	-53.2227	0.5493	18.5547
-0.0813	0.9567	0.1969	-50.1099	0.7935	16.6626
-0.0815	0.9487	0.1688	-47.7905	1.4648	14.0381
-0.0698	0.9424	0.1484	-46.6919	3.0518	10.7422
-0.0543	0.9326	0.1364	-47.3022	4.6997	7.1411
-0.0574	0.9246	0.1421	-47.9736	5.1270	3.4180
-0.0790	0.9247	0.1510	-48.4619	5.0659	0.2441
-0.0957	0.9253	0.1494	-48.1567	4.8828	-1.7090
-0.1039	0.9275	0.1511	-47.1191	5.2490	-3.0518
-0.1022	0.9255	0.1494	-45.5933	6.1646	-3.6621
-0.0962	0.9225	0.1525	-42.9688	5.7983	-3.9062
-0.0925	0.9261	0.1501	-40.7104	3.1738	-3.9062
-0.1079	0.9346	0.1400	-38.0859	-0.7324	-3.4790
-0.1183	0.9309	0.1252	-34.6680	-3.4180	-2.5024
-0.1327	0.9259	0.1023	-31.6772	-5.0049	-1.5259
-0.1503	0.9175	0.0837	-28.9307	-5.5542	-1.1597
-0.1644	0.9176	0.0731	-26.9775	-4.2725	-0.4883
-0.1659	0.9324	0.0647	-25.2075	-0.9766	-0.1831
-0.1550	0.9457	0.0560	-23.3154	2.8687	-0.8545
-0.1320	0.9474	0.0436	-22.7051	6.5918	-2.1362
-0.1075	0.9503	0.0409	-23.2544	9.0942	-3.6621
-0.0916	0.9545	0.0566	-24.8413	9.8267	-6.0425
-0.0894	0.9565	0.0768	-25.5127	8.4229	-8.2397
-0.0975	0.9478	0.0857	-24.3530	5.0659	-9.5215
-0.0972	0.9388	0.0966	-23.1323	0.7935	-9.3994
-0.0999	0.9403	0.1084	-21.7285	-3.9673	-8.1177
-0.1091	0.9448	0.1158	-18.9819	-8.9111	-6.2866
-0.1292	0.9508	0.1140	-14.9536	-12.8174	-3.9062
-0.1505	0.9525	0.1310	-9.0942	-14.7705	-0.6104
-0.1256	0.9459	0.1083	-3.4180	-14.1602	2.3804
-0.1021	0.9541	0.1105	1.6479	-13.9160	5.2490
-0.1696	0.9937	0.1971	10.0098	-19.4092	8.6670
-0.4080	1.1178	0.4092	29.2969	-29.2969	14.0991
-0.6796	1.2505	0.6754	71.8384	-38.8794	28.7476
-0.8811	1.3789	0.9344	139.7705	-44.0063	55.0537
-0.9087	1.4115	0.8016	229.4922	-40.5273	90.3320
-0.8492	1.5319	1.0980	320.1294	-11.5967	122.2534
-0.9897	1.7208	0.6602	441.8335	28.3813	150.8179
-1.0728	1.8381	0.5449	563.1104	103.8208	181.8237
-0.5863	1.8612	0.4098	683.8989	203.7964	193.6035
-0.1006	2.0177	0.2260	801.0254	274.5972	170.3491
0.2190	2.1188	-0.1924	886.1694	285.7666	130.4321
0.2633	1.7874	-0.5416	897.6440	254.6997	90.8203
0.3999	1.0083	-0.8333	820.5566	226.9287	79.7119
0.8741	-0.1698	-0.7207	640.3198	183.7158	86.4868
0.8223	-1.4023	-0.3170	368.1030	124.1455	84.7778
0.3259	-1.4172	0.3457	96.0693	60.7300	41.6870
0.1948	-0.2561	0.6305	-86.6699	-26.4893	-9.2163
0.2235	0.3467	0.6436	-174.6826	-115.6616	-43.3960
0.1804	0.4768	0.4659	-200.0732	-176.3916	-63.1714
-0.1296	0.5160	0.3646	-200.8667	-211.7310	-67.8101
-0.4041	0.5256	0.3174	-196.0449	-213.9893	-65.6738
-0.6387	0.5134	0.3312	-193.4204	-184.9365	-58.1055
-0.7069	0.4951	0.3750	-190.5518	-124.8779	-43.0908
-0.5483	0.5009	0.4030	-190.4297	-54.6265	-36.6821
-0.3431	0.5126	0.3794	-196.2280	6.4697	-43.6401
-0.1228	0.4951	0.3512	-207.0312	49.9268	-59.8755
0.1260	0.5232	0.3800	-222.6562	64.7583	-75.2563
0.1439	0.6023	0.4290	-234.9854	52.8564	-86.1206
-0.0212	0.6836	0.4341	-239.6240	27.2827	-91.0645
-0.2458	0.7628	0.4741	-239.5630	-0.9155	-87.2192
-0.3848	0.8397	0.5076	-232.6660	-19.9585	-74.3408
-0.4095	0.8956	0.5314	-218.8110	-23.9258	-57.9224
-0.4310	0.9358	0.5781	-202.0874	-19.4092	-41.8701
-0.4370	0.9659	0.5994	-184.9365	-10.6812	-29.9072
-0.3843	0.9961	0.5853	-170.1050	-3.1128	-23.0103
-0.2811	1.0027	0.5439	-159.5459	1.3428	-20.6299
-0.1917	0.9865	0.5063	-154.2358	2.0752	-21.5454
-0.1492	0.9811	0.4672	-153.8086	0.3052	-25.6958
-0.1150	0.9924	0.4585	-156.0669	-2.9297	-33.2642
-0.1075	1.0135	0.4625	-157.4707	-10.6812	-41.5649
-0.1337	1.0326	0.4741	-155.3345	-20.2637	-48.5840
-0.1854	1.0389	0.4564	-148.7427	-29.7241	-51.6968
-0.2351	1.0297	0.4146	-139.5874	-35.5835	-50.1709
-0.2767	1.0150	0.4014	-130.6763	-37.9639	-43.3960
-0.3069	0.9980	0.3899	-121.1548	-36.2549	-33.6304
-0.3250	0.9828	0.3809	-109.9854	-30.0293	-22.2778
-0.3179	0.9746	0.3843	-97.5952	-19.7754	-11.4746
-0.2852	0.9613	0.3641	-84.2285	-7.9346	-2.5024
-0.2321	0.9540	0.3290	-72.2656	3.1128	4.0283
-0.1516	0.9392	0.3016	-62.8662	11.5967	7.6294
-0.0712	0.9219	0.2865	-55.9082	14.5264	7.9346
-0.0160	0.9199	0.2849	-51.8188	11.1084	5.4321
-0.0229	0.9266	0.3033	-49.0112	1.9531	1.6479
-0.0800	0.9440	0.2744	-45.4712	-9.1553	-2.5024
-0.1428	0.9454	0.2393	-41.6870	-17.5781	-5.2490
-0.1682	0.9297	0.2189	-38.6353	-19.2871	-5.8594
-0.1752	0.9224	0.1953	-36.0107	-15.8691	-5.6152
-0.1686	0.9222	0.1721	-34.3018	-10.6201	-4.8828
-0.1644	0.9225	0.1620	-33.8135	-5.6763	-4.1504
-0.1550	0.9219	0.1349	-33.2031	-1.2817	-3.3569
-0.1266	0.9229	0.1182	-33.2642	1.5869	-3.7231
-0.1320	0.9272	0.1140	-34.8511	3.1128	-6.1035
-0.1404	0.9279	0.1058	-36.0107	6.0425	-9.5825
-0.1459	0.9340	0.1008	-37.2925	9.2773	-14.1602
-0.1359	0.9307	0.0989	-38.6963	11.5356	-18.6768
-0.1271	0.9180	0.1118	-39.5508	11.7187	-22.1558
-0.1296	0.9124	0.1152	-39.5508	9.1553	-23.3765
-0.1292	0.9109	0.1125	-39.1235	4.3335	-21.6675
-0.1313	0.9181	0.1133	-39.2456	-0.7935	-18.3105
-0.1377	0.9272	0.1138	-38.9404	-3.8452	-13.8550
-0.1365	0.9370	0.1143	-38.0249	-3.6621	-9.3384
-0.1255	0.9515	0.1187	-36.3770	-1.0986	-6.1035
-0.1129	0.9587	0.1338	-34.4849	0.7324	-4.5776
-0.0972	0.9637	0.1576	-31.5552	1.9531	-3.7231
-0.0693	0.9996	0.2094	-27.5879	2.0752	-2.6855
-0.0928	1.0670	0.2933	-19.8975	1.5259	-1.9531
-0.2736	1.1790	0.4402	-0.4272	-0.3052	1.5259
-0.4983	1.2705	0.5975	37.9639	-1.7090	13.3057
-0.7388	1.3813	1.0035	92.8345	-1.4038	33.3862
-0.7733	1.5286	1.0892	171.6919	3.0518	58.2275
-0.7726	1.6847	1.0365	271.2402	14.4043	90.6372
-0.8109	1.7715	1.0162	379.4556	43.3350	125.6104
-0.7495	1.8168	1.0779	493.1641	86.0596	155.2124
-0.2737	1.9065	1.0024	615.3564	134.7656	166.3818
0.3500	1.9996	0.6566	730.9570	157.0435	144.7144
0.4985	1.8595	0.2192	808.2886	136.5967	99.4873
0.1912	1.5889	0.0192	831.1768	101.3794	56.3965
0.0160	1.3757	-0.0569	803.1616	79.8340	42.1143
0.4806	0.8462	-0.1556	725.4028	71.2280	57.3120
0.7753	-0.0248	-0.2623	592.4072	50.9644	69.1528
0.4287	-0.7610	-0.0410	406.7993	17.0898	71.5332
-0.0081	-0.9099	0.1782	223.6328	-26.3062	48.9502
-0.1195	-0.4862	0.3965	77.3926	-72.8149	9.0332
-0.1487	-0.0220	0.4033	-16.7847	-98.9380	-24.3530
-0.3344	0.2440	0.3821	-63.8428	-108.7646	-42.7246
