aX	aY	aZ	gX	gY	gZ	
-0.7671	0.1799	1.4458	-44.3726	-9.3994	-2.5024
-0.4464	0.0735	1.2924	-2.6245	29.9072	11.5967
-0.2706	-0.0796	1.1632	28.1372	42.2363	22.7661
-0.2229	-0.2271	1.0492	48.0347	30.1514	27.6489
-0.2471	-0.3469	0.9381	59.8755	9.9487	27.7100
-0.2969	-0.4469	0.8372	66.7725	-4.9438	26.1841
-0.3698	-0.5186	0.7450	71.4722	-12.2070	25.6348
-0.4519	-0.6012	0.6770	77.2095	-14.7705	26.7334
-0.5265	-0.7166	0.5828	88.1348	-10.4980	27.4048
-0.5713	-0.8219	0.4908	101.8066	-0.6104	29.2358
-0.5994	-0.9039	0.4227	113.4644	9.8267	34.7900
-0.5374	-0.9489	0.3804	121.8872	21.4844	42.4805
-0.4752	-0.9698	0.3589	126.8311	34.7290	50.4761
-0.3993	-0.9794	0.3368	128.3569	43.9453	57.0679
-0.3219	-0.9628	0.3202	126.0376	44.5557	61.4624
-0.2686	-0.9252	0.3350	121.7041	39.3677	63.6597
-0.2585	-0.8953	0.3887	117.9199	31.3721	65.1245
-0.2897	-0.8883	0.4351	118.8354	22.6440	67.0166
-0.3478	-0.8813	0.4569	125.6104	17.5781	70.3735
-0.3232	-0.8817	0.4421	137.0239	22.8882	75.4395
-0.2965	-0.8848	0.4019	150.6958	36.2549	79.6509
-0.3047	-0.8807	0.3776	165.7715	52.1240	81.2988
-0.2695	-0.8944	0.2992	182.6782	68.9697	81.9702
-0.2026	-0.9034	0.2343	198.9136	86.1816	82.0313
-0.1226	-0.9103	0.1732	213.6841	100.3418	80.0781
-0.0532	-0.9078	0.1193	226.5015	110.7178	75.8057
-0.0120	-0.9158	0.0496	236.2061	114.9292	70.4956
0.0222	-0.9248	0.0007	242.4927	112.4878	66.3452
0.0419	-0.9343	-0.0048	246.8872	105.5298	64.0869
0.0298	-0.9320	-0.0530	250.2441	96.1304	63.5376
0.0236	-0.9457	-0.1726	252.3193	86.3037	63.5986
0.0210	-0.9840	-0.3086	246.2158	73.3643	64.8804
0.0011	-0.9987	-0.3961	230.5298	59.7534	64.6973
-0.0098	-0.9873	-0.4458	211.9751	49.7437	63.5376
